molregno,molecular_complexity,mean_standard_value
146,5.09,12589.25
666,5.61,7270.0
923,7.45,2600.0
924,7.42,1900.0
996,3.76,1300.0
1125,2.44,20000.0
1712,5.19,29000.0
1788,5.63,45000.0
2130,3.83,6.0
2131,3.47,1440.0
2580,5.45,600.0
2608,3.04,33100.0
2609,3.46,19200.0
2658,4.26,38200.0
2740,2.95,61700.0
2741,3.3,24500.0
2749,2.63,29600.0
2771,3.6,30400.0
2825,3.1,32200.0
2826,2.95,25400.0
2844,2.92,21700.0
2860,3.59,20400.0
3998,4.45,200.0
4345,4.02,64000.0
4496,3.75,755.0
4634,5.19,1760.0
5119,5.48,697.0
5151,4.91,1600.0
5273,4.83,154.0
5285,4.62,10000.0
5575,4.61,10000.0
5960,2.49,1700.0
6083,5.4,3000.0
6085,5.12,3000.0
6122,3.7,1200.0
6172,5.45,1000.0
6643,4.76,9230.0
6693,5.65,72.0
6701,5.4,12589.25
7013,7.62,0.87
7015,7.43,2.8
7023,7.79,2.0
7029,7.19,24.0
7030,7.73,2.4
7031,7.79,1.7
7032,7.58,0.91
7109,7.68,3.0
7110,7.77,2.1
8283,3.21,2900.0
8910,1.24,660.0
9333,2.92,12500.0
11097,3.62,25600.0
11254,4.25,15848.93
11567,3.89,1200.0
12911,3.29,7943.28
12957,4.02,750.0
13329,1.25,12589.25
13487,3.22,28.0
14192,5.38,4450.0
15472,5.14,20000.0
15527,4.82,20000.0
15585,5.06,20000.0
15739,2.68,80200.0
15776,3.76,20000.0
15938,4.78,3400.0
16303,4.39,75120.0
16391,3.35,495.0
16450,1.36,86700.0
16584,4.11,2720.0
16973,4.49,3180.0
17169,7.17,8305.0
17224,6.38,10440.0
17347,6.11,15170.0
17351,0.9,15848.93
17490,1.36,17300.0
17853,3.78,29800.0
17982,3.45,65500.0
18033,3.5,65900.0
18703,2.71,21600.0
18857,2.72,10000.0
19049,4.97,15000.0
19183,1.96,46500.0
19573,5.95,64000.0
20935,5.21,10000.0
21855,4.5,8000.0
22439,5.48,3.0
23121,4.53,3000.0
23172,4.43,1150.0
24498,4.88,3160.0
25357,4.42,4140.0
25435,4.71,5360.0
25453,4.83,4440.0
25493,4.79,2530.0
25638,4.88,3980.0
25717,4.77,2170.0
26812,4.71,3024.0
27185,5.68,2500.0
27340,3.83,11200.0
27350,3.74,600.0
27351,3.35,100.0
27352,3.79,50.0
27506,5.85,19000.0
27519,5.55,150.0
27527,3.89,11300.0
27543,5.46,3050.0
27545,5.59,440.0
27612,5.47,70.0
27647,2.55,5670.0
27847,3.16,710.0
27848,3.59,300.0
27878,5.04,400.0
27889,4.37,13100.0
27895,4.85,500.0
27896,5.06,3000.0
27897,5.31,400.0
27913,3.89,60.0
27918,3.33,500.0
27919,3.65,60.0
27920,4.08,400.0
27921,3.03,7400.0
27945,6.28,6.0
27956,3.0,2300.0
27960,4.42,800.0
27987,4.74,3700.0
28005,2.77,20900.0
28006,4.76,50.0
28007,4.41,40.0
28009,3.3,2400.0
28010,3.05,6000.0
28024,5.07,4200.0
28028,5.65,3000.0
28038,5.39,3700.0
28040,4.13,400.0
28044,4.49,200.0
28057,4.76,4850.0
28487,4.29,5.6
29378,0.27,41000.0
31157,2.17,12589.25
32349,2.08,15848.93
32823,0.64,52000.0
33196,4.39,300.0
36237,5.22,8050.0
36842,5.27,500.0
38293,4.83,1740.0
38898,2.8,7943.28
39241,2.79,25.0
40805,4.83,10000.0
41443,3.81,2900.0
42426,4.54,16100.0
43877,4.59,3260.0
45637,3.35,19170.0
45727,6.57,500.39666666666665
45747,6.5,1000.0
45776,6.57,10000.0
45899,6.38,22000.0
46006,2.96,280.0
46074,3.3,20500.0
46179,3.59,15800.0
46241,5.78,1500.0
46278,3.44,1400.0
46314,6.48,420.0
46337,3.91,10.8
46433,3.43,40000.0
46475,5.79,1400.0
46476,2.88,36000.0
46512,2.77,43000.0
46814,3.76,12589.25
46884,4.46,30400.0
47209,4.45,10333.333333333334
48734,4.58,180.0
49110,4.25,190.0
50076,4.99,6.35
50091,3.72,15848.93
50561,4.07,15.5
50829,5.13,15.0
50875,3.81,13.0
50917,5.53,160.0
50919,5.7,100.0
50954,5.5,14.0
50956,5.53,200.0
50966,4.89,320.0
51287,5.01,160.0
51338,4.88,250.0
51348,5.18,70.0
51349,5.47,20.0
51351,5.39,600.0
51362,4.41,400.0
51363,4.91,100.0
51716,4.99,50.0
51745,5.45,26000.0
51746,4.96,150.0
51772,5.22,40.0
51795,5.51,200.0
51796,4.79,2400.0
51827,5.82,1400.0
51950,5.79,400.0
51951,5.84,60.0
51982,6.02,30.0
52016,5.29,600.0
52122,4.82,300.0
52123,5.7,500.0
52125,5.65,2700.0
52164,4.37,1500.0
52874,4.7,320.0
53616,3.77,510.0
54271,3.46,6400.0
54712,7.0,0.1
54714,1.5,10000.0
55319,6.64,580.0
55320,6.79,420.0
55321,6.66,1200.0
55616,6.83,900.0
55617,6.65,1400.0
55642,6.44,310.0
55643,6.8,710.0
55644,6.87,3200.0
55671,6.96,200.0
55779,6.67,170.0
55917,6.57,440.0
56248,6.59,1300.0
56249,6.59,3300.0
56461,6.71,630.0
56462,6.68,1100.0
56831,3.37,7720.0
56842,6.52,440.0
56843,6.71,61.0
56933,6.59,130.0
58428,1.85,68000.0
61174,3.95,12589.25
61469,3.71,58000.0
61615,2.36,14800.0
61745,4.3,115.0
61756,3.97,55000.0
61920,4.4,3000.0
63060,4.67,1000.0
63095,5.19,1000.0
63417,2.05,270.0
65404,3.78,1860.0
66042,6.89,274.7
66146,6.3,132.2
66300,6.33,1000.0
66301,6.47,462.6
66453,5.63,57.0
66557,6.14,940.0
66627,5.73,605.7
66631,6.16,228.3
66847,7.44,266.2
66848,7.22,102.6
66928,3.07,740.0
66940,6.19,980.0
67016,6.04,930.0
67498,7.24,152.2
67553,6.42,108.8
67554,6.38,81.1
68919,2.96,10700.0
69135,2.89,10000.0
69879,3.86,89000.0
70349,1.91,10000.0
70931,3.95,12000.0
71232,5.56,7870.0
71516,7.57,2.0
71934,7.17,11940.0
72303,3.32,6309.57
73421,4.62,12589.25
73548,4.93,12589.25
73562,3.93,3653.0
74448,4.97,323.0
74667,4.73,3.0
78113,6.17,74000.0
78560,4.79,4225.0
78759,6.66,58.0
79238,4.05,9500.0
79409,4.0,4000.0
80527,4.85,10000.0
80653,2.45,2000.0
80654,2.02,1400.0
80875,3.17,500.0
80876,3.81,5000.0
80887,4.67,79.0
80976,2.0,1400.0
81364,2.77,2900.0
81502,1.57,3200.0
81534,2.54,600.0
81578,2.77,1600.0
81614,3.17,500.0
81615,3.61,320.0
81780,2.97,1200.0
82016,1.8,9500.0
82198,3.17,1300.0
82240,3.61,500.0
82242,1.26,2500.0
82243,4.33,1000.0
82431,2.53,5000.0
82511,5.86,3900.0
82532,3.05,8100.0
82534,3.22,6000.0
82569,6.47,6600.0
82570,6.42,7500.0
82606,5.84,6600.0
82627,6.32,3200.0
82628,6.3,3400.0
83034,5.45,5400.0
83071,6.76,6100.0
83148,5.57,8900.0
83242,3.0,18200.0
83515,5.85,37300.0
83568,5.8,5300.0
83569,6.39,6300.0
83729,3.8,28900.0
83731,3.56,2067.052
83732,3.22,5230.0
83740,3.52,10650.0
83774,2.95,26850.0
83800,3.36,1046.6666666666667
83941,4.38,23639.62
83980,4.12,33293.195
84051,4.13,46300.0
84077,3.76,59100.0
84113,4.52,76800.0
84133,3.51,5000.0
84155,3.82,31150.0
84167,2.87,56750.0
84168,2.59,4900.0
84579,2.23,90050.0
84623,4.29,31200.0
84633,3.06,12589.25
84850,3.88,27390.0
84873,4.44,2965.57
84887,4.47,50200.0
84893,2.28,56800.0
84928,2.04,5530.0
84932,3.16,100000.0
84933,3.09,12722.3125
86308,4.29,19300.0
86618,3.45,24000.0
87389,4.78,4000.0
87448,2.11,5000.0
87503,4.53,21000.0
89895,4.96,5000.0
90006,5.4,125.0
90016,4.83,800.0
90045,4.46,35.0
90137,3.9,300.0
90378,5.33,344.0
90623,3.95,80.0
91094,5.51,718.0
91285,4.77,3089.0
91768,3.97,18000.0
92237,3.86,749.945
92984,4.43,1370.0
95248,4.59,19000.0
95382,3.96,35000.0
95649,5.63,95.8
95755,6.38,600.0
95756,6.16,1090.0
95774,4.48,6000.0
95839,3.22,4020.0
95840,3.05,2040.0
95875,3.16,100.0
95957,4.63,1000.0
95958,3.44,5000.0
96209,3.5,672.5
96290,3.76,3230.0
96335,6.03,930.0
97798,4.58,58.0
97867,7.05,1370.0
98605,3.1,15800.0
99174,1.79,30000.0
99755,5.0,35.0
101358,3.34,7943.28
103968,4.67,16300.0
104177,3.96,53000.0
104251,5.06,20700.0
104255,4.92,84000.0
104284,4.6,48000.0
104389,4.58,98000.0
104521,4.58,33800.0
104604,5.37,22.0
104605,5.51,2.85
104642,5.29,3.7
104691,4.46,7500.0
104808,5.15,82000.0
104880,4.46,11500.0
104906,3.63,20000.0
104908,4.14,3600.0
104909,4.3,115.0
104913,5.01,16100.0
104938,3.92,22000.0
104944,4.25,35000.0
104961,3.97,3800.0
104977,4.41,84000.0
105010,4.11,3600.0
105404,4.09,52800.0
105406,4.55,11000.0
106170,4.13,640.0
106342,6.62,200.0
106585,6.19,260.0
106586,6.42,77.0
106606,3.12,18000.0
107294,6.38,170.0
107498,4.14,46.0
107500,3.62,160.0
107516,6.43,75.0
107539,6.34,67.0
107544,4.33,56.0
107546,3.59,180.0
107579,6.37,280.0
107580,6.4,560.0
107583,4.35,61.0
107584,3.76,210.0
107620,3.34,160.0
107621,3.21,280.0
107730,6.22,220.0
107731,6.61,60.0
107879,6.54,37.0
107962,6.39,560.0
108001,4.42,31.0
108002,3.81,78.0
108004,3.6,85.0
108005,3.72,58.0
108106,3.59,100.0
108184,2.34,1100.0
108186,3.29,220.0
108228,2.96,190.0
108337,4.22,140.0
108338,3.5,200.0
108911,3.6,180.0
108992,4.43,120.0
109041,3.92,1100.0
110480,5.38,10000.0
111185,4.92,19980.0
111580,1.9,55000.0
112090,1.44,67500.0
112651,4.18,2500.0
113606,2.51,340.0
113614,6.35,1.9
113731,5.45,2511.89
113753,4.95,20710.0
113826,5.35,20540.0
113827,5.44,14540.0
113869,5.13,16960.0
113885,5.79,14700.0
114091,5.17,17500.0
114423,4.65,4880.0
116949,6.13,1612.0
117821,5.96,20.0
117902,5.65,100.0
118531,5.61,36.0
118669,5.37,5500.0
118671,4.91,444.0
118747,4.01,4300.0
118821,5.73,113.0
118944,3.13,55500.0
119136,4.42,68.0
119138,5.39,5600.0
119176,4.95,129.0
119216,6.46,59.0
119303,4.28,32.0
119454,6.52,55.0
119522,4.19,39400.0
119604,4.85,15.7
120282,6.65,6.64
120349,6.52,12.7
120669,1.38,5660.0
120857,6.75,50.58
120859,6.84,4.25
120873,6.22,7.65
120909,5.47,3.68
121196,4.85,73300.0
122261,2.13,12589.25
122396,2.73,12589.25
122614,2.33,10000.0
126068,6.07,65500.0
126356,3.28,18000.0
127442,4.07,4500.0
127620,4.19,1100.0
128555,4.34,6200.0
130689,3.32,6300.0
131763,4.02,20000.0
134040,3.69,18990.0
135297,5.66,140.0
135328,6.62,21.0
135478,5.66,170.0
135479,5.43,73.0
135579,5.41,46.0
135705,5.08,17.0
135731,5.01,17.0
136192,4.51,55.0
136274,4.53,89.0
136325,5.67,14.0
136372,5.74,9.4
136377,5.64,6.5
136379,6.62,81.0
136386,4.62,10000.0
137085,4.64,48000.0
137183,5.29,12589.25
137805,4.47,7.7
137919,4.46,63000.0
141153,5.97,8.5
141169,6.36,25.6
141183,6.21,9.73
141196,6.15,16.6
141207,5.98,14.9
141209,6.21,15.0
141213,6.35,1.2
141217,6.32,10.2
141218,6.35,26.0
141248,5.9,16.9
141250,5.92,11.2
141388,5.77,167.0
141391,6.15,7.4
141506,5.97,69.0
141551,5.38,187.0
141648,5.98,16.7
141649,6.07,18.7
142808,7.58,1.0
143429,6.95,330.0
143917,6.9,109.0
144068,7.46,71.0
144069,7.49,273.0
144110,6.78,270.0
144111,6.95,247.0
144200,6.99,307.0
144244,7.35,230.0
144245,7.14,31.0
144253,7.06,440.0
144286,7.24,232.0
144313,7.02,63.0
144314,7.05,138.0
144315,7.11,55.0
144380,6.35,63.0
144381,6.46,176.0
144429,6.8,92.0
144554,6.43,55.0
144597,6.47,61.0
144600,6.35,19.0
144678,4.8,24.0
144769,6.19,18.0
144771,6.45,57.0
144869,6.79,26.0
145009,6.8,62.0
145010,6.77,91.0
145011,6.78,67.0
145018,6.87,436.0
145019,6.83,40.0
145558,5.99,178.0
145560,5.88,1380.0
145598,6.15,88.0
145599,6.35,200.0
145600,6.35,1000.0
145617,5.96,151.0
145651,5.74,317.0
145652,5.64,398.0
145673,6.42,670.0
145772,6.51,210.0
145789,6.35,125.0
145909,6.32,750.0
145910,6.29,300.0
145915,6.25,300.0
145933,6.17,85.0
145934,6.2,130.0
146034,6.08,415.0
146035,6.09,120.0
146103,6.43,590.0
146278,5.51,2700.0
146364,6.2,145.0
146365,6.15,320.0
146494,6.27,84.0
146536,5.22,0.8
146557,5.84,8.3
146598,4.55,3.5
146615,5.56,21.4
146656,6.46,12.3
146806,6.64,0.9
147036,4.82,1000.0
147037,5.0,1000.0
147213,6.0,30.4
147214,6.15,0.9
147242,5.37,3.3
147251,5.36,13.2
147252,6.54,4.1
147469,6.37,1000.0
147773,5.2,89.0
147863,6.19,10000.0
148748,5.31,240.0
148823,5.39,660.0
148857,5.45,380.0
149342,5.58,480.0
149343,5.51,140.0
149344,5.27,160.0
149708,5.26,170.0
149758,3.38,159.5
149815,2.89,463.0
149872,4.86,5000.0
149873,3.91,681.5
149997,5.1,3000.0
150086,3.07,347.5
150096,3.57,2863.0
150214,3.69,2863.0
150280,5.49,2000.0
151674,4.02,160.0
152391,4.74,12589.25
153278,5.85,100000.0
153344,5.81,92000.0
153408,2.36,2771.0
153508,6.27,40000.0
153570,4.52,1093.0
153658,4.57,3010.0
155148,5.8,806.5
155198,5.83,1450.0
155199,5.31,41.6
155233,5.37,50.9
155234,5.54,588.0
155272,5.45,44.0
155366,4.67,359.8
155382,6.34,165.0
155383,6.27,27.4
155385,6.06,78.6
155432,5.67,465.0
155458,6.05,54.0
155461,5.83,855.0
155462,5.69,192.7
