molregno,molecular_complexity,mean_standard_value
115,1.95,22387.2
173,4.71,19952.6
605,3.42,562.3
921,3.64,39810.7
1124,2.99,3981.1
1223,5.54,12589.3
1333,4.38,8912.5
1371,1.3,3162.3
1403,4.38,12589.3
1470,0.08,35481.3
1699,3.98,39810.7
1994,2.47,7943.3
2029,3.55,8912.5
2130,3.83,25118.9
2156,3.07,28183.8
2207,2.56,14125.4
2247,3.57,8912.5
2689,2.32,14125.4
2740,2.95,14125.4
2749,2.63,6309.6
2753,4.73,14125.4
2782,5.07,13357.35
2812,5.46,8912.5
2825,3.1,891.3
2826,2.95,17782.8
3345,4.27,3548.1
3683,5.42,39810.7
3889,0.87,1584.9
4011,2.01,30476.466666666667
4164,4.53,31622.8
4361,1.53,28183.8
4399,5.81,28183.8
5246,6.31,22387.2
5261,4.57,15848.9
5408,3.34,10000.0
5561,3.07,22387.2
5582,5.73,39810.7
5622,3.22,31622.8
5970,4.68,16815.85
6216,3.75,28183.8
6611,4.83,6309.6
6723,2.05,39810.7
6784,2.95,22387.2
6816,2.92,39810.7
6914,5.7,13357.35
7289,5.16,14125.4
7343,5.47,17782.8
9495,5.64,19952.6
9837,2.83,562.3
9842,3.37,31622.8
10017,4.59,15848.9
10385,1.47,79.4
10452,5.47,11220.2
10512,2.34,7943.3
10584,4.26,44668.4
11501,3.43,35481.3
12111,4.39,39810.7
12225,5.05,7943.3
12417,4.0,44668.4
12825,5.13,39810.7
13244,2.93,15848.9
13329,1.25,7943.3
13402,1.71,44668.4
13928,2.84,39810.7
14090,4.62,44668.4
14101,4.42,1258.9
14711,2.53,8912.5
14864,2.49,3162.3
15155,4.7,38367.566666666666
15521,4.95,35481.3
16192,2.88,35481.3
16328,3.4,446.7
16446,2.97,39810.7
16450,1.36,44668.4
16510,4.61,29903.3
16543,1.9,3981.1
16591,3.26,3981.1
16651,2.3,25118.9
16973,4.49,13101.333333333334
17928,3.55,44668.4
18033,3.5,15848.9
18078,3.25,17782.8
18520,2.67,7943.3
19137,1.84,11220.2
19138,1.82,25118.9
21021,3.55,44668.4
21298,5.21,39810.7
21523,6.3,25118.9
21770,4.4,12589.3
22385,1.81,15848.9
22391,4.36,19952.6
23448,2.49,19952.6
23721,7.81,22387.2
24357,5.79,8912.5
24522,2.4,7943.3
25811,4.75,25118.9
26118,6.22,19952.6
26598,5.14,25118.9
27105,4.04,11904.75
28331,4.16,4466.8
29382,3.76,25118.9
29390,1.86,44668.4
29831,3.44,3548.1
29860,3.49,17782.8
29924,4.91,37646.0
30247,3.33,39810.7
30363,2.01,1122.0
30629,4.37,19952.6
30677,1.61,19952.6
31289,1.08,8912.5
31900,3.48,100.0
32764,3.38,5011.9
33134,1.06,14125.4
33630,1.93,7943.3
33727,2.82,31622.8
33809,3.32,26651.35
33986,3.47,3548.1
35358,1.42,8912.5
35586,4.72,35481.3
36093,2.69,31622.8
37245,4.96,17782.8
37987,4.08,18867.7
38124,3.64,281.8
38764,4.86,22387.2
39440,3.84,1258.9
39469,2.87,31622.8
39475,3.94,25118.9
39478,3.46,31622.8
39878,5.19,28183.8
40064,1.86,35481.3
40069,3.15,39810.7
40776,4.85,35481.3
40805,4.83,28183.8
41530,5.13,39810.7
42468,2.95,794.3
42617,5.63,7511.4
43952,7.04,13357.35
44253,1.87,5623.4
45860,4.26,25118.9
46109,4.82,19952.6
46259,2.28,19952.6
46295,2.24,10000.0
46436,2.67,17782.8
46636,4.61,8912.5
46799,2.68,25118.9
47335,6.69,28183.8
48449,5.4,12589.3
49345,5.71,25118.9
50094,4.0,22387.2
50185,4.67,17782.8
50269,3.71,17782.8
51524,1.65,2818.4
53562,6.0,10000.0
53591,2.53,562.3
54338,3.59,35481.3
54423,2.32,22387.2
54518,5.48,28183.8
54704,4.72,14125.4
54957,1.97,35481.3
54994,3.65,5011.9
55061,3.58,14987.15
56131,3.77,19952.6
56132,5.69,2511.9
56167,3.49,2238.7
56418,2.54,37646.0
56494,3.28,14125.4
56506,2.39,28183.8
56779,5.76,22387.2
57493,2.23,16815.85
57551,6.35,28183.8
59842,2.45,10000.0
60232,5.27,17782.8
61248,4.11,3548.1
61414,3.25,39810.7
62073,3.2,31622.8
63252,5.66,22387.2
64200,3.02,199.5
65028,5.23,11220.2
65244,4.9,28183.8
65494,3.23,125.9
66057,5.41,11220.2
66114,4.9,22387.2
66831,4.92,12589.3
68871,3.23,11220.2
68990,2.66,13357.35
69266,5.48,22387.2
70039,4.6,19952.6
72170,4.49,14987.15
72873,7.44,8912.5
73421,4.62,14125.4
73793,2.6,3162.3
74001,3.34,6309.6
74949,4.23,19952.6
75141,5.37,15848.9
75453,4.13,35481.3
75473,4.69,2818.4
75628,4.27,5011.9
77799,3.32,12589.3
78748,5.1,3548.1
78891,3.29,25.1
79409,4.0,28183.8
79516,3.57,19952.6
82526,2.36,19952.6
83003,2.89,28183.8
84584,3.77,22387.2
84633,3.06,39810.7
85553,4.14,19952.6
85900,4.65,19952.6
86617,3.91,10610.1
87324,4.21,15848.9
87383,4.32,14987.15
88100,6.98,39810.7
88800,4.62,39810.7
88882,3.89,7943.3
90215,3.47,39810.7
91393,3.3,16815.85
91504,2.84,31622.8
91714,1.74,2117.0
92776,5.01,631.0
93626,2.44,631.0
95661,3.14,39810.7
95794,3.38,25118.9
96842,3.7,25.1
101101,4.44,16815.85
101365,5.43,19952.6
102367,3.66,17782.8
103519,5.59,10000.0
103648,4.75,13357.35
104250,4.46,35481.3
104574,2.59,23753.05
105093,4.06,1258.9
105619,3.69,15848.9
106483,5.23,44668.4
106627,2.57,1995.3
107585,2.19,39810.7
109074,4.59,501.2
109334,3.89,14125.4
110802,3.06,44668.4
111270,4.66,22387.2
